Tipo_delito,mayor,no_mayor,menor,no_menor,no_media,no_arriba,no_debajo
Delitos contra las personas,Tabasco,947,Campeche,49,473,17,15
Delitos contra el patrimonio,Baja California,1333,Nayarit,96,651,13,19
Delitos sexuales,Baja California,68,Tlaxcala,6,30,15,17
Delitos contra la sociedad,Chihuahua,180,Campeche,10,70,13,19
Delitos contra las funciones del estado y el servicio público,Ciudad de México,111,Tlaxcala,2,21,11,21
Accidentes de tránsito,Aguascalientes,66,Nayarit,4,25,14,18
